Moves,Played,WhiteWins,Draws,BlackWins,AvgElo
a2a3 g7g6 e2e4 c7c5 g1f3 f8g7 b1c3 b8c6 f1c4 d7d6 e1g1 g8f6 h2h3 e8g8 d2d3 a7a6 f1e1 b7b5 c4a2 e7e6 c1f4 d8c7 d1d2 f6d7,2,0,2,0,2738.0
a2a3 g7g6 e2e4 c7c5 g1f3 f8g7 d2d4 c5d4 f3d4 b8c6 d4b3 b7b6 c2c4 c8a6 a1a2 a8c8 b3d2 e7e6 b2b4 a6b7 c1b2 g7b2 a2b2 g8f6,2,0,0,2,2761.0
a2a3 g7g6 e2e4 f8g7 d2d4 c7c6 g1f3 d7d5 b1c3 c8g4 f1e2 g4f3 e2f3 d5e4 c3e4 d8d4 d1e2 g8f6 c2c3 d4e5 c1e3 b8d7 e4f6 d7f6,2,2,0,0,2648.0
a2a3 g7g6 e2e4 f8g7 d2d4 d7d6 g1f3 g8f6 b1d2 e8g8 f1d3 b8c6 d4d5 c6b8 e1g1 b8d7 f1e1 d7c5 d3f1 a7a5 a1b1 c7c6 d5c6 b7c6,2,2,0,0,2763.0
a2a3 g7g6 e2e4 f8g7 d2d4 d7d6 g1f3 g8f6 f1d3 c7c5 e1g1 c5d4 f3d4 e8g8 c2c4 b8c6 d4c6 b7c6 b1c3 a7a5 a1b1 f6d7 c3a4 c6c5,2,0,2,0,2769.5
a2a3 g7g6 g1f3 f8g7 d2d4 g8f6 b2b4 e8g8 c1b2 a7a5 b4b5 d7d5 e2e3 a5a4 c2c4 d5c4 f1c4 b8d7 e1g1 d7b6 c4a2 f6e4 b1c3 e4d6,2,2,0,0,2666.5
a2a3 g7g6 g1f3 f8g7 g2g3 e7e5 d2d3 d7d5 f1g2 g8e7 e1g1 e8g8 e2e4 d5d4 b2b4 a7a5 c1b2 a5b4 a3b4 a8a1 b2a1 d8d6 c2c3 d4c3,2,0,2,0,2715.0
a2a3 g8f6 a1a2 d7d5 a2a1 e7e5 e2e3 c7c5 h2h3 b8c6 f1b5 f8d6 g1e2 e8g8 b5c6 b7c6 d2d3 d6c7 b1d2 e5e4 d3e4 d5e4 e2c3 d8e7,2,2,0,0,2681.0
a2a3 g8f6 c2c4 b7b6 d2d3 e7e6 e2e4 c7c5 b1c3 b8c6 f2f4 d7d5 c4d5 e6d5 e4e5 d5d4 e5f6 d4c3 d1e2 c8e6 b2c3 d8f6 c1d2 f8d6,1,0,1,0,2647.5
a2a3 g8f6 c2c4 c7c6 c4c5 b7b6 c5b6 a7b6 d2d4 d7d5 c1f4 c8f5 e2e3 e7e6 f1d3 f5d3 d1d3 f8b4 b1c3 f6e4 g1e2 e4c3 e2c3 e8g8,2,0,2,0,2740.0
a2a3 g8f6 d2d4 d7d5 g1f3 c8f5 c2c4 e7e6 e2e3 c7c6 f1d3 f5g6 d3g6 h7g6 b1d2 b8d7 d1c2 f8d6 b2b3 a7a5 c1b2 e8g8 e1g1 d8e7,2,2,0,0,2738.5
a2a3 g8f6 d2d4 g7g6 c2c4 c7c5 d4c5 f8g7 b1c3 e8g8 e2e4 b8a6 c1e3 d7d6 c5d6 f6g4 e3f4 d8b6 d1d2 g7c3 b2c3 a6c5 f4e3 e7d6,2,0,0,2,2770.0
